PMID,Abstract
27506605,"Background: The widespread distribution of Neisseria gonorrhoeae strains that are resistant to previously used and clinically implemented antibiotics is a significant global public health problem. In line with WHO standards, the national Gonococcal Antimicrobial Surveillance Programme (RU-GASP) has been in existence in Russia since 2004; herein, the current status (2015) is described, including associations between N. gonorrhoeae antimicrobial susceptibility, primary genetic resistance determinants and specific strain sequence types. Methods: A total of 124 N. gonorrhoeae strains obtained from 9 regions in Russia in 2015 were examined using N. gonorrhoeae Multi-Antigen Sequence Typing (NG-MAST), an antimicrobial susceptibility test according to European Committee on Antimicrobial Susceptibility Testing (EUCAST) criteria and an oligonucleotide microarray for the identification of mutations in the penA, ponA, rpsJ, gyrA and parC genes responsible for penicillin G, tetracycline, and fluoroquinolone resistance. Genogroup (G) isolates were evaluated based on their porB and tbpB sequence types (STs). Results: NG-MAST analysis showed a diversified population of N. gonorrhoeae in Russia with 58 sequence types, 35 of which were described for the first time. The STs 807, 1544, 1993, 5714, 9476 and 12531, which were typical for some Russian Federation regions and several countries of the former Soviet Union, were represented by five or more isolates. The internationally widespread ST 1407 was represented by a single strain in the present study. Division into genogroups facilitated an exploration of the associations between N. gonorrhoeae sequence type, antimicrobial resistance spectra and genetic resistance determinant contents. Preliminarily susceptible (G-807, G-12531) and resistant (G-5714, G-9476) genogroups were revealed. The variability in the most frequently observed STs and genogroups in each participating region indicated geographically restricted antimicrobial susceptibility in N. gonorrhoeae populations. Conclusions: Resistance or intermediate susceptibility to previously recommended antimicrobials, such as penicillin G (60.5 %), ciprofloxacin (41.1 %) and tetracycline (25 %), is common in the N. gonorrhoeae population. Based on previous reports and current data, ceftriaxone and spectinomycin should be recommended for first-line empiric antimicrobial monotherapy for gonorrhoea in Russia."
27141096,"Expanding efforts to develop preventive gonorrhea vaccines is critical because of the dire possibility of untreatable gonococcal infections. Reverse vaccinology, which includes genome and proteome mining, has proven very successful in the discovery of vaccine candidates against many pathogenic bacteria. However, progress with this approach for a gonorrhea vaccine remains in its infancy. Accordingly, we applied a comprehensive proteomic platform-isobaric tagging for absolute quantification coupled with two-dimensional liquid chromatography and mass spectrometry-to identify potential gonococcal vaccine antigens. Our previous analyses focused on cell envelopes and naturally released membrane vesicles derived from four different Neisseria gonorrhoeae strains. Here, we extended these studies to identify cell envelope proteins of N. gonorrhoeae that are ubiquitously expressed and specifically induced by physiologically relevant environmental stimuli: oxygen availability, iron deprivation, and the presence of human serum. Together, these studies enabled the identification of numerous potential gonorrhea vaccine targets. Initial characterization of five novel vaccine candidate antigens that were ubiquitously expressed under these different growth conditions demonstrated that homologs of BamA (NGO1801), LptD (NGO1715), and TamA (NGO1956), and two uncharacterized proteins, NGO2054 and NGO2139, were surface exposed, secreted via naturally released membrane vesicles, and elicited bactericidal antibodies that cross-reacted with a panel of temporally and geographically diverse isolates. In addition, analysis of polymorphisms at the nucleotide and amino acid levels showed that these vaccine candidates are highly conserved among N. gonorrhoeae strains. Finally, depletion of BamA caused a loss of N. gonorrhoeae viability, suggesting it may be an essential target. Together, our data strongly support the use of proteomics-driven discovery of potential vaccine targets as a sound approach for identifying promising gonococcal antigens."
33148708,"Oropharyngeal Chlamydia trachomatis (CT) infections and, especially, Neisseria gonorrhoeae (NG) infections are common, but few commercial nucleic acid amplification tests (NAATs) specify extragenital samples for intended use. The test characteristics of the cobas 4800 CT/NG assay were evaluated for oropharyngeal swabs. The technical validation included analysis of the specificity, sensitivity, dynamic range, linearity, efficiency, and precision. The probability of detection curve combined with historical data enabled the estimation of potentially missed diagnoses. A clinical evaluation was performed on a subset of 2,798 clinical samples available from routine diagnostics. Results of the cobas 4800 were compared with those from in-house C. trachomatis / N. gonorrhoeae PCR assays. Discrepant samples were tested with resolver assays, and these results were considered decisive. No cross-reactivity was seen in the analytical specificity analysis. High linearity ( R 2 ≥ 0.983), efficiency (89% to 99%), and precision (cycle threshold [ C T ] value of 0.1 to 0.9) were seen for both C. trachomatis and N. gonorrhoeae The limit of detection in oropharyngeal samples was 3.2 × 10 2 inclusion-forming units (IFU)/ml for C. trachomatis and 6.7 × 10 2 CFU/ml for N. gonorrhoeae Estimates on potentially missed diagnoses were up to 7.2% for C. trachomatis and up to 24.7% for N. gonorrhoeae Clinical sensitivity and specificity were evaluated with 25 C. trachomatis -positive, 86 N. gonorrhoeae -positive, and 264 negative samples, resulting in 100% and 99.6% for C. trachomatis and 100% and 96.7% for N. gonorrhoeae, respectively. The findings in this study demonstrate the utility of the cobas 4800 CT/NG assay for oropharyngeal samples. Despite its being a highly accurate test, the range of reported C T values, especially for N. gonorrhoeae , suggests relatively low oropharyngeal loads. Hence, consistent detection over the full range of oropharyngeal loads could be impaired."
26529166,No abstract available
28003354,No abstract available
24622331,"This report updates CDC's 2002 recommendations regarding screening tests to detect Chlamydia trachomatis and Neisseria gonorrhoeae infections (CDC. Screening tests to detect Chlamydia trachomatis and Neisseria gonorrhoeae infections-2002. MMWR 2002;51[No. RR-15]) and provides new recommendations regarding optimal specimen types, the use of tests to detect rectal and oropharyngeal C. trachomatis and N. gonorrhoeae infections, and circumstances when supplemental testing is indicated. The recommendations in this report are intended for use by clinical laboratory directors, laboratory staff, clinicians, and disease control personnel who must choose among the multiple available tests, establish standard operating procedures for collecting and processing specimens, interpret test results for laboratory reporting, and counsel and treat patients. The performance of nucleic acid amplification tests (NAATs) with respect to overall sensitivity, specificity, and ease of specimen transport is better than that of any of the other tests available for the diagnosis of chlamydial and gonococcal infections. Laboratories should use NAATs to detect chlamydia and gonorrhea except in cases of child sexual assault involving boys and rectal and oropharyngeal infections in prepubescent girls and when evaluating a potential gonorrhea treatment failure, in which case culture and susceptibility testing might be required. NAATs that have been cleared by the Food and Drug Administration (FDA) for the detection of C. trachomatis and N. gonorrhoeae infections are recommended as screening or diagnostic tests because they have been evaluated in patients with and without symptoms. Maintaining the capability to culture for both N. gonorrhoeae and C. trachomatis in laboratories throughout the country is important because data are insufficient to recommend nonculture tests in cases of sexual assault in prepubescent boys and extragenital anatomic site exposure in prepubescent girls. N. gonorrhoeae culture is required to evaluate suspected cases of gonorrhea treatment failure and to monitor developing resistance to current treatment regimens. Chlamydia culture also should be maintained in some laboratories to monitor future changes in antibiotic susceptibility and to support surveillance and research activities such as detection of lymphogranuloma venereum or rare infections caused by variant or mutated C. trachomatis."
29329176,"Background: Novel approaches to combating drug-resistant Neisseria gonorrhoeae infections are urgently needed. Targeted therapy with ciprofloxacin has been made possible by a rapid assay for genotyping the gyrase A (gyrA) gene; a nonmutated gene reliably predicts susceptibility to ciprofloxacin. Methods: We determined the costs of running the gyrA assay, 500 mg of ciprofloxacin, 250 mg of ceftriaxone injection, and 1000 mg of azithromycin. Cost estimates for gyrA testing included assay reagents and labor. Cost estimates for ceftriaxone included medication, injection, administration, supplies, and equipment. We measured the cost of using the gyrA assay and treatment based on genotype using previously collected data over a 13-month period between November 2015 and November 2016 for all N. gonorrhoeae cases diagnosed at UCLA. We subsequently developed 3 cost models, varying the frequency of testing and prevalence of N. gonorrhoeae infections with ciprofloxacin-resistant or genotype-indeterminate results. We compared those estimates with the cost of recommended 2-drug therapy (ceftriaxone and azithromycin). Results: Based on a 65.3% prevalence of cases with ciprofloxacin-resistant or genotype indeterminate N. gonorrhoeae infections when running an average of 1.7 tests per day, the per-case cost of gyrA genotyping and targeted therapy was US $197.19. The per-case cost was US $155.16 assuming a 52.6% prevalence of ciprofloxacin-resistant or genotype-indeterminate infections when running an average of 17 tests per day. The per-case cost of 2-drug therapy was US $142.75. Conclusions: Direct costs of gyrA genotyping and targeted ciprofloxacin therapy depend on the prevalence of ciprofloxacin-resistant or genotype-indeterminate infections and testing frequency."
31675147,"Objectives: Ureaplasma urealyticum (UU), Chlamydia trachomatis (CT), and Neisseria gonorrhoeae (NG) are highly prevalent worldwide and may lead to some genital diseases. The objective of this large-scale study was to estimate the prevalence characteristics of UU, CT, and NG among women in Taizhou, Zhejiang Province, China. Methods: A total of 13 303 women who visited the gynecologic outpatient service of Taizhou First People's Hospital in Taizhou from 2013 to 2018 were analyzed. The testing of UU, CT, and NG was performed on the collected vaginal swabs using real-time fluorescence quantitative polymerase chain reaction (RT-PCR) method. Results: The overall infection rates of UU, CT, and NG were 62.04%, 10.20%, and 4.09% in the Taizhou-based population, respectively. The age-specific prevalence showed that younger women (age <25 years) were the preferred period for the positive detection of UU or CT, while elder women (age ≥40 years) had the highest prevalence of NG. In addition, the UU-CT co-infection pattern (7.32%) predominated in the study population, and CT was significantly associated with UU and NG. Conclusions: Our novel data demonstrated that UU, CT, and NG infection are prevalent among women in Taizhou, and comprehensive UU, CT, and NG screening guidelines and treatment policies for this population are warranted."
26327539,"Urogenital Chlamydia trachomatis (CT) and Neisseria gonorrhoeae (NG) are the most prevalent bacterial STIs worldwide. Molecular tests are the standard for the detection of CT and NG, as these are difficult to culture. The recently introduced CE-IVD marked GMT Presto assay promises to be a valuable addition in CT and NG diagnostics. The advantage of the Presto assay is that it works on many PCR systems and the DNA can be isolated by any system.We compared the Presto assay to the widely used Roche cobas® 4800 CT/NG test for the detection of CT and NG in 612 vaginal and rectal dry collected swabs. Discrepant samples were tested by the TIB MOLBIOL Lightmix Kit 480 HT CT/NG assay. The alloyed gold standard was defined as two concurring Presto and cobas® 4800 results, or, with discrepant Presto and cobas® results, two concurring results of either test together with the Lightmix Kit 480 HT CT/NG assay. For the Presto assay,we observed 77 CT positive (13%) and 22 NG positive (3,6%) vaginal samples, and 41 CT positive (6,7%) and 11 NG positive (1,8%) rectal samples. For the cobas® 4800 assay,we observed 77 CT positive (13%) and 21NG positive (3,4%) vaginal samples, and 39 CT positive (6,4%) and 11 NG positive (1,8%) rectal samples. Ten CT samples were discrepant between Presto and cobas® 4800 CT/NG assays, while two NG samples were discrepant. CT sensitivity in both assays was 100% compared to the alloyed gold standard. The sensitivity was 100% for both vaginal and rectal dry swabs, underlining the suitability of these sample types for detection of CT and NG. The Presto assay is therefore valuable for molecular detection of CT and NG in dry vaginal and rectal swabs."
23859910,"During a 35-day period, 32 isolates of Neisseria gonorrhoeae strains were collected by culture from patients with positive nucleic acid amplification test results in Nuuk, Greenland, where ciprofloxacin is the preferred treatment. All isolates were quinolone susceptible, suggesting that resistance is rare. Sampling patients for culture before treatment may prove useful in reestablishing surveillance."
